title,year,source,selection_criteria,status,comments
Towards Utopia: designing tangibles for learning,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Touching the depths: introducing tabletop interaction to reservoir engineering,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
TinkerSheets: using paper forms to control and visualize tangible simulations,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
FeelSound: interactive acoustic music making,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Presence disparity in mixed presence collaboration,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
GestureAgents: an agent-based framework for concurrent multi-task multi-user interaction,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Collaborating around Digital Tabletops: Children's Physical Strategies from India, the UK and Finland",2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Learning extended writing: designing for children's collaboration,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Let's jam the reactable: Peer learning during musical improvisation with a tabletop tangible interface,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Exploring the design space of gestural interaction with active tokens through user-defined gestures,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Children's haptic experiences of tangible artifacts varying in hardness,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
ART-Chess: A Tangible Augmented Reality Chess on Tabletop,2015,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Mine, Yours, Ours: Coordination through Workspace Arrangements and Territoriality in Tabletop Interaction",2018,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Mixed reality based interaction system for digital heritage,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Digital mysteries: designing for learning at the tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Activboard
ChemicAble: Tangible Interaction Approach for learning Chemical Bonding,2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Tangible optical chess: a laser strategy game on an interactive tabletop,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Utilizing Smartphones as a Multi-Device Single Display Groupware to Design Collaborative Games,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Eugenie: gestural and tangible interaction with active tokens for bio-design,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Implementing widgets using sifteo cubes for visual modelling on tangible user interfaces,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Interessante falar que é modular
Paper-based concept map: the effects of tabletop on an expressive collaborative learning task,2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
3D Tabletop User Interface Using Virtual Elastic Objects,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
"Villains, architects and micro-managers: what tabula rasa teaches us about game orchestration",2013,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Designing Cultural Values into Interaction,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
Co-narrating a conflict: An interactive tabletop to facilitate attitudinal shifts,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch
Group Touch: Distinguishing Tabletop Users in Group Settings via Statistical Modeling of Touch Pairs,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
RoboJockey: robotic dance entertainment for all,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,
